dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,60229,"marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the",41,40
sst2,natural_language,stanfordnlp/sst2,train,58568,"if hill is n't quite his generation 's don siegel ( or robert aldrich ) , it 's because there 's no discernible feeling beneath the chest hair ; it '",47,40
sst2,natural_language,stanfordnlp/sst2,train,10865,( `` take care of my cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .,40,40
sst2,natural_language,stanfordnlp/sst2,train,13713,"to those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` divine secrets of the ya-ya sisterhood , ' but that 's",44,40
sst2,natural_language,stanfordnlp/sst2,train,24428,"of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's",42,40
sst2,natural_language,stanfordnlp/sst2,train,9123,"is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be",43,40
sst2,natural_language,stanfordnlp/sst2,train,42649,"sitting in the third row of the imax cinema at sydney 's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera",52,40
sst2,natural_language,stanfordnlp/sst2,train,52190,"more timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food",41,40
sst2,natural_language,stanfordnlp/sst2,train,62736,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film 's creepy , clean-cut dahmer ( jeremy renner )",56,40
sst2,natural_language,stanfordnlp/sst2,train,8791,"when ( reno ) lets her radical flag fly , taking angry potshots at george w. bush , henry kissinger , larry king , et al. , reno devolves into",46,40
sst2,natural_language,stanfordnlp/sst2,train,20582,"quiet , adult and just about more stately than any contemporary movie this year ... a true study , a film with a questioning heart and mind that is n't afraid to admit it does n't have",44,40
sst2,natural_language,stanfordnlp/sst2,train,61850,"imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and h",59,40
sst2,natural_language,stanfordnlp/sst2,train,25690,"has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky `` pretty woman '' retread , with the emphasis on self-empowering schm",55,40
sst2,natural_language,stanfordnlp/sst2,train,26634,'s mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo ',45,40
sst2,natural_language,stanfordnlp/sst2,train,41151,"offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class",51,40
sst2,natural_language,stanfordnlp/sst2,train,17537,"it could have been something special , but two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorv",48,40
sst2,natural_language,stanfordnlp/sst2,train,10705,"has about 3/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel",49,40
sst2,natural_language,stanfordnlp/sst2,train,14410,"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat",41,40
sst2,natural_language,stanfordnlp/sst2,train,14521,"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the",44,40
sst2,natural_language,stanfordnlp/sst2,train,61654,"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the",44,40
sst2,natural_language,stanfordnlp/sst2,train,5567,"solaris is rigid and evasive in ways that soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and `` ocean 's eleven ,",44,40
sst2,natural_language,stanfordnlp/sst2,train,58384,"it 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody being able to tear",52,40
sst2,natural_language,stanfordnlp/sst2,train,18206,"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome",43,40
sst2,natural_language,stanfordnlp/sst2,train,33411,"was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual",42,40
sst2,natural_language,stanfordnlp/sst2,train,58686,"one hour photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally",45,40
sst2,natural_language,stanfordnlp/sst2,train,41993,"served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` to",43,40
sst2,natural_language,stanfordnlp/sst2,train,38587,"only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's",46,40
sst2,natural_language,stanfordnlp/sst2,train,48274,is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self,43,40
sst2,natural_language,stanfordnlp/sst2,train,8828,"it 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but olympia , wash. , based filmmakers anne de marcken and marilyn fre",55,40
sst2,natural_language,stanfordnlp/sst2,train,28184,"any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine",45,40
sst2,natural_language,stanfordnlp/sst2,train,29153,"pascale bailly 's rom-com provides amélie 's audrey tautou with another fabuleux destin -- i.e. , a banal spiritual quest .",40,40
sst2,natural_language,stanfordnlp/sst2,train,5129,"instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by",50,40
sst2,natural_language,stanfordnlp/sst2,train,28005,"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the",48,40
sst2,natural_language,stanfordnlp/sst2,train,28980,come from seeing former nymphette juliette lewis playing a salt-of-the-earth mommy named minnie and watching slim travel incognito in a ridiculous,53,40
sst2,natural_language,stanfordnlp/sst2,train,10556,"before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg 's adaptation of mary gaitskill 's harrowing short story ... is a brilliantly",46,40
sst2,natural_language,stanfordnlp/sst2,train,52010,"while you have to admit it 's semi-amusing to watch robert deniro belt out `` when you 're a jet , you 're a jet all the way , '' it '",56,40
sst2,natural_language,stanfordnlp/sst2,train,42513,"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in",41,40
sst2,natural_language,stanfordnlp/sst2,train,53817,"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many",48,40
sst2,natural_language,stanfordnlp/sst2,train,45475,"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skim",42,40
sst2,natural_language,stanfordnlp/sst2,train,66818,"the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for",46,40
sst2,natural_language,stanfordnlp/sst2,train,62160,an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed,41,40
sst2,natural_language,stanfordnlp/sst2,train,33591,"huppert 's show to steal and she makes a meal of it , channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as 8 women",45,40
sst2,natural_language,stanfordnlp/sst2,train,1713,"along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes",40,40
sst2,natural_language,stanfordnlp/sst2,train,32139,"one thing 's for sure -- if george romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot",44,40
sst2,natural_language,stanfordnlp/sst2,train,32019,"( kline 's ) utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .",40,40
sst2,natural_language,stanfordnlp/sst2,train,62926,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had",46,40
sst2,natural_language,stanfordnlp/sst2,train,19730,"be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel",45,40
sst2,natural_language,stanfordnlp/sst2,train,60290,"there 's a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title .",40,40
sst2,natural_language,stanfordnlp/sst2,train,37165,"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans ' story and his own infinite insecurity is a work of outstanding originality",40,40
sst2,natural_language,stanfordnlp/sst2,train,12432,"it 's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-",44,40
sst2,natural_language,stanfordnlp/sst2,train,53246,"is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous",42,40
sst2,natural_language,stanfordnlp/sst2,train,46653,"we 've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world '",43,40
sst2,natural_language,stanfordnlp/sst2,train,62464,"so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or",42,40
sst2,natural_language,stanfordnlp/sst2,train,54162,"it 's enough to watch huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that chabrol spins",41,40
sst2,natural_language,stanfordnlp/sst2,train,20815,"conveys the passion , creativity , and fearlessness of one of mexico 's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us",42,40
sst2,natural_language,stanfordnlp/sst2,train,50227,is something that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and,47,40
sst2,natural_language,stanfordnlp/sst2,train,9014,the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's,43,40
sst2,natural_language,stanfordnlp/sst2,train,12976,robert harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,41,40
sst2,natural_language,stanfordnlp/sst2,train,56490,"there 's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to",41,40
sst2,natural_language,stanfordnlp/sst2,train,13048,"hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and",60,40
sst2,natural_language,stanfordnlp/sst2,train,57891,deuces wild is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their,42,40
sst2,natural_language,stanfordnlp/sst2,train,58420,"is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom m",41,40
sst2,natural_language,stanfordnlp/sst2,train,28327,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should",44,40
sst2,natural_language,stanfordnlp/sst2,train,56637,"... with the gifted pearce on hand to keep things on semi-stable ground dramatically , this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for",42,40
sst2,natural_language,stanfordnlp/sst2,train,23957,godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pret,52,40
sst2,natural_language,stanfordnlp/sst2,train,45461,that ` alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch,52,40
sst2,natural_language,stanfordnlp/sst2,train,7538,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw",52,40
sst2,natural_language,stanfordnlp/sst2,train,24671,"( t ) he script is n't up to the level of the direction , nor are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now",47,40
sst2,natural_language,stanfordnlp/sst2,train,56663,is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed,42,40
sst2,natural_language,stanfordnlp/sst2,train,55507,"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of",43,40
sst2,natural_language,stanfordnlp/sst2,train,61852,"for every articulate player , such as skateboarder tony hawk or bmx rider mat hoffman , are about a half dozen young turks angling to see how many times they can work",53,40
sst2,natural_language,stanfordnlp/sst2,train,66214,"ultimately , the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona",44,40
sst2,natural_language,stanfordnlp/sst2,train,62462,"there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulf",43,40
sst2,natural_language,stanfordnlp/sst2,train,48183,a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything,40,40
sst2,natural_language,stanfordnlp/sst2,train,44827,", broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental",42,40
sst2,natural_language,stanfordnlp/sst2,train,57548,has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product,40,40
sst2,natural_language,stanfordnlp/sst2,train,45684,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only",51,40
sst2,natural_language,stanfordnlp/sst2,train,30688,"will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the",51,40
sst2,natural_language,stanfordnlp/sst2,train,30884,"the spaniel-eyed jean reno infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some",42,40
sst2,natural_language,stanfordnlp/sst2,train,25150,"another iteration of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally `` superior ''",44,40
sst2,natural_language,stanfordnlp/sst2,train,4342,"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle",44,40
sst2,natural_language,stanfordnlp/sst2,train,67046,"so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the",41,40
sst2,natural_language,stanfordnlp/sst2,train,45851,"behan 's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense -- but sheridan has settled for a lugubrious romance .",40,40
sst2,natural_language,stanfordnlp/sst2,train,2429,"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute",40,40
sst2,natural_language,stanfordnlp/sst2,train,29761,"implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all",40,40
sst2,natural_language,stanfordnlp/sst2,train,17143,"until it goes off the rails in its final 10 or 15 minutes , wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled",54,40
sst2,natural_language,stanfordnlp/sst2,train,32053,the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .,40,40
sst2,natural_language,stanfordnlp/sst2,train,58761,"'s hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend",56,40
sst2,natural_language,stanfordnlp/sst2,train,65419,"costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink laurence oliv",41,40
sst2,natural_language,stanfordnlp/sst2,train,33339,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst --",53,40
sst2,natural_language,stanfordnlp/sst2,train,61841,"ultimately , sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we",42,40
sst2,natural_language,stanfordnlp/sst2,train,14401,"my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might",47,40
sst2,natural_language,stanfordnlp/sst2,train,20995,"welles groupie/scholar peter bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant william randolph hearst .",40,40
sst2,natural_language,stanfordnlp/sst2,train,33379,"even if you 're an agnostic carnivore , you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty p",45,40
sst2,natural_language,stanfordnlp/sst2,train,22136,"it 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper",44,40
sst2,natural_language,stanfordnlp/sst2,train,35743,"despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",41,40
sst2,natural_language,stanfordnlp/sst2,train,52533,the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art,41,40
sst2,natural_language,stanfordnlp/sst2,train,37788,"why sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ?",40,40
sst2,natural_language,stanfordnlp/sst2,train,12415,"as is often the case with ambitious , eager first-time filmmakers , mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",40,40
sst2,natural_language,stanfordnlp/sst2,train,59530,"while the importance of being earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond wilde 's wit and the actors ' performances .",40,40
gsm8k,math,openai/gsm8k,train,1958,"Prejean's speed in a race was three-quarters that of Rickey. If they both took a total of 70 minutes to run the race, calculate the total number of minutes that Rickey",46,40
